"","retailer_name","minor_involved","sale_to_minor","product_type","brand","flavor","inspection_date","decision_date","inspection_result","link","charges","address","newdate","year"
"763","HIGH RIDGE","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/28/2017","10/05/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","5818 BROADWAY AVENUE, BRONX, NY, 10463",2017-10-05,"2017"
"764","FIRST 1 DELI","Yes","Yes","Cigar(s)","Other",NA,"09/12/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","333 EAST 138TH STREET, BRONX, NY, 10454",2017-09-28,"2017"
"765","180 BUS STOP DELI","Yes","Yes","Cigar(s)","Other",NA,"09/15/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","702 EAST 180TH STREET, BRONX, NY, 10457",2017-09-28,"2017"
"766","69 DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/16/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","69 FEATHERBED LANE, BRONX, NY, 10452",2017-09-28,"2017"
"767","B&B MINI MARKET","Yes","Yes","Cigar(s)","Other",NA,"09/10/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","311 NEPTUNE AVE, BROOKLYN, NY, 11235",2017-09-28,"2017"
"768","PLAZA BANI FOOD","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/12/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","3001 KINGSBRIDGE TERRACE, BRONX, NY, 10463",2017-09-28,"2017"
"769","BODEGA BUILT","Yes","Yes","Cigar(s)","Other",NA,"09/15/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","601 EAST 180TH STREET, BRONX, NY, 10457",2017-09-28,"2017"
"770","CHICKY'S MINI MARKET","Yes","Yes","Cigar(s)","Phillies",NA,"09/15/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","332 SAINT ANNS AVENUE, BRONX, NY, 10454",2017-09-28,"2017"
"771","KINGS DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"09/12/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2105-2107 AVENUE Z, BROOKLYN, NY, 11235",2017-09-28,"2017"
"772","NACHO DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"09/15/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","595 EAST 141 STREET, BRONX, NY, 10454",2017-09-28,"2017"
"773","HICIANO DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/20/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","3118 BAILEY AVENUE, BRONX, NY, 10463",2017-09-28,"2017"
"774","EL MOUNA DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/12/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","314 CYPRESS AVENUE, BRONX, NY, 10454",2017-09-28,"2017"
"775","GREEN WOOD MINI MARKET","Yes","Yes","Cigar(s)","Black & Mild",NA,"09/15/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","574 7TH AVENUE, BROOKLYN, NY, 11215",2017-09-28,"2017"
"776","LLAULIN GROCERY","Yes","Yes","Cigar(s)","Other",NA,"09/15/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","350 BROOK AVENUE, BRONX, NY, 10454",2017-09-28,"2017"
"777","SMOKE SHOP & NEWSSTAND","Yes","Yes","Cigar(s)","Other",NA,"09/12/2017","09/28/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1500 SHEEPSHEAD BAY ROAD, BROOKLYN, NY, 11235",2017-09-28,"2017"
"778","J & J MINI MARKET NO.2 INC.","Yes","Yes","Cigar(s)","Other",NA,"09/08/2017","09/21/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","3981 LACONIA AVE, BRONX, NY, 10466",2017-09-21,"2017"
"779","CITGO/HARMONY AUTO SERVICE","Yes","Yes","Cigar(s)","Other",NA,"07/31/2017","09/21/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","184-17 HORACE HARDING EXPRESSWAY, FRESH MEADOWS, NY, 11365",2017-09-21,"2017"
"780","JABRAN DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/21/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5839"")","See Complaint","994 BEDFORD AVENUE, BROOKLYN, NY, 11205",2017-09-21,"2017"
"781","GOURMET DELI GRILL","Yes","Yes","Cigar(s)","Other",NA,"08/31/2017","09/21/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2835 86TH ST, BROOKLYN, NY, 11223",2017-09-21,"2017"
"782","LUCKY STAR GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/21/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5834"")","See Complaint","856 EAST 180TH STREET, BRONX, NY, 10460",2017-09-21,"2017"
"783","CHARLES GOURMET PRODUCE","Yes","Yes","Cigarettes in a package","Newport",NA,"See Complaint","09/20/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5777"")","See Complaint","140 CHARLES STREET, NEW YORK, NY, 10014",2017-09-20,"2017"
"784","4 GOLD STAR GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/28/2017","09/14/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","3043 AVENUE V, BROOKLYN, NY, 11229",2017-09-14,"2017"
"785","M & W DELI GROCERY CORP.","Yes","Yes","Cigar(s)","Other",NA,"05/17/2017","09/14/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","3323 AVENUE H, BROOKLYN, NY, 11210",2017-09-14,"2017"
"786","SAN MIGUEL DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","09/14/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5634"")","See Complaint","5129 103RD STREET, CORONA, NY, 11368",2017-09-14,"2017"
"787","JABAR FAMOUS DELI","Yes","Yes","Cigar(s)","Other",NA,"08/26/2017","09/14/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","24602 FRANCIS LEWIS BOULEVARD, ROSEDALE, NY, 11422",2017-09-14,"2017"
"788","SUNNY DELI","Yes","Yes","Cigarettes in a package","Newport",NA,"08/27/2017","09/14/2017","Warning Letter Issued",NA,"1140.14(a)(1)-Sale to a minor","2915 AVENUE P, BROOKLYN, NY, 11229",2017-09-14,"2017"
"789","SHOP SMART FOOD MART","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/26/2017","09/14/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","191 YORK STREET, BROOKLYN, NY, 11201",2017-09-14,"2017"
"790","SUNOCO/SHEA SNACK SHOP","Yes","Yes","Cigar(s)","Other",NA,"07/24/2017","09/14/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12748 NORTHERN BOULEVARD, CORONA, NY, 11368",2017-09-14,"2017"
"791","2122 DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","09/08/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5492"")","See Complaint","2122 36TH AVENUE, ASTORIA, NY, 11106",2017-09-08,"2017"
"792","ASK DELI GROCERY","Yes","Yes","Cigarettes in a package","Newport",NA,"See Complaint","09/08/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5508"")","See Complaint","1479 BEACH AVENUE, BRONX, NY, 10460",2017-09-08,"2017"
"793","NEW CORONA LUCKY STORE","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","09/08/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5509"")","See Complaint","9055 CORONA AVENUE, ELMHURST, NY, 11373",2017-09-08,"2017"
"794","JUNCTION DELI GRILL & GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/08/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5496"")","See Complaint","4910 JUNCTION BOULEVARD, ELMHURST, NY, 11373",2017-09-08,"2017"
"795","SOUTHSIDE FOOD / GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/01/2017","09/08/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","726 EAST 152ND STREET, BRONX, NY, 10455",2017-09-08,"2017"
"796","99 CENT PLUS DELI DISCOUNT","Yes","Yes","Cigarettes in a package","Newport",NA,"05/29/2017","09/07/2017","Warning Letter Issued",NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","2801 WHITE PLAINS ROAD, BRONX, NY, 10467",2017-09-07,"2017"
"797","CIBAO EXPRESS","Yes","Yes","Cigar(s)","Other",NA,"08/02/2017","09/07/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","17142 LIBERTY AVENUE, JAMAICA, NY, 11433",2017-09-07,"2017"
"798","SUNSHINE DELI & GROCERY.","Yes","Yes","Cigar(s)","Other",NA,"08/23/2017","09/07/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","111-08 MERRICK BOULEVARD, JAMAICA, NY, 11433",2017-09-07,"2017"
"799","DELICIOUS DELUXE","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/07/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5440"")","See Complaint","118-65 FARMERS BOULEVARD, SAINT ALBANS, NY, 11412",2017-09-07,"2017"
"800","E&A MINI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/23/2017","09/07/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1810 WHITE PLAINS ROAD, BRONX, NY, 10462",2017-09-07,"2017"
"801","MOBIL MART","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/07/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5441"")","See Complaint","2773 NOSTRAND AVENUE, BROOKLYN, NY, 11210",2017-09-07,"2017"
"802","MEJIAS DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/06/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5423"")","See Complaint","11327 FARMERS BOULEVARD, ST ALBANS, NY, 11412",2017-09-06,"2017"
"803","TAKATY DELI AND GRILL","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","09/01/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5366"")","See Complaint","20115 LINDEN BOULEVARD, SAINT ALBANS, NY, 11412",2017-09-01,"2017"
"804","17TH MINI MART","Yes","Yes","Cigar(s)","Other",NA,"05/17/2017","08/31/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","8306 17TH AVENUE, BROOKLYN, NY, 11214",2017-08-31,"2017"
"805","478 DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"08/15/2017","08/31/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","147 HANCOCK STREET, BROOKLYN, NY, 11216",2017-08-31,"2017"
"806","MERMAID BEST DELI","Yes","Yes","Cigar(s)","Other",NA,"08/14/2017","08/31/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2120 MERMAID AVENUE, BROOKLYN, NY, 11224",2017-08-31,"2017"
"807","J & C GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/02/2017","08/31/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","110-02 GUY R BREWER BOULEVARD, JAMAICA, NY, 11433",2017-08-31,"2017"
"808","NOW WE CHANGE DELI AND GROCERY","Yes","Yes","Cigar(s)","Other",NA,"05/17/2017","08/31/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","7202 5TH AVENUE, BROOKLYN, NY, 11209",2017-08-31,"2017"
"809","TOP NEWS AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/17/2017","08/31/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","6422 14TH AVENUE, BROOKLYN, NY, 11219",2017-08-31,"2017"
"810","REGO PARK DAIRY FARM","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","08/29/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5238"")","See Complaint","9622 QUEENS BOULEVARD, REGO PARK, NY, 11374",2017-08-29,"2017"
"811","183RD STOP ONE DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","08/28/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5219"")","See Complaint","124 EAST 183RD STREET, BRONX, NY, 10453",2017-08-28,"2017"
"812","M & M BAGELS AND DELI","Yes","Yes","Cigar(s)","Other",NA,"04/10/2017","08/24/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","849 ANNADALE ROAD, STATEN ISLAND, NY, 10312",2017-08-24,"2017"
"813","COMMUNITY MERRICK DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/02/2017","08/24/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","109-14 MERRICK BOULEVARD, JAMAICA, NY, 11433",2017-08-24,"2017"
"814","IDREES MINI MART","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/12/2017","08/24/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","93 97 WEST END AVENUE, BROOKLYN, NY, 11235",2017-08-24,"2017"
"815","BROADWAY MINI-MARKET DELI-GROCERY","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","08/18/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-4998"")","See Complaint","1254 BROADWAY, BROOKLYN, NY, 11221",2017-08-18,"2017"
"816","HAMMEL STOP 1 SUPERMARKET","Yes","Yes","Cigar(s)","Other",NA,"08/05/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","8602 ROCKAWAY BEACH, ROCKAWAY BEACH, NY, 11693",2017-08-17,"2017"
"817","FOREST HILLS BAGELS","Yes","Yes","Cigar(s)","Other",NA,"08/05/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","11210 QUEENS BOULEVARD, FOREST HILLS, NY, 11375",2017-08-17,"2017"
"818","SWEET CORNER DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"08/04/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","107-01 GUY R BREWER BLVD, JAMAICA, NY, 11433",2017-08-17,"2017"
"819","SANTANA DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/29/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","2001 WHITE PLAINS ROAD, BRONX, NY, 10462",2017-08-17,"2017"
"820","LOS TRES HERMANITOS DELI GROCE","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/29/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","654 MORRIS PARK AVENUE, BRONX, NY, 10462",2017-08-17,"2017"
"821","SOUTH ROAD DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"08/03/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","16224 TUSKEGEE AIRMEN WAY, JAMAICA, NY, 11433",2017-08-17,"2017"
"822","REEMY'S DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"08/04/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1524 UNIONPORT ROAD, BRONX, NY, 10462",2017-08-17,"2017"
"823","KC SUPERMARKET & DELI","Yes","Yes","Cigar(s)","Other",NA,"07/31/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2607 BEDFORD AVENUE, BROOKLYN, NY, 11226",2017-08-17,"2017"
"824","EL MENEO GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"08/06/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","210-21 HOLLIS AVENUE, QUEENS VILLAGE, NY, 11429",2017-08-17,"2017"
"825","SHELL MINI MART","Yes","Yes","Cigar(s)","Other",NA,"08/05/2017","08/17/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11520 BEACH CHANNEL DRIVE, ROCKAWAY PARK, NY, 11694",2017-08-17,"2017"
"826","FIVE J DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"See Complaint","08/14/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-4884"")","See Complaint","14412 LAKEWOOD AVENUE, JAMAICA, NY, 11435",2017-08-14,"2017"
"827","348 S & M FOOD","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","08/11/2017","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-4829"")","See Complaint","348 BROADWAY, STATEN ISLAND, NY, 10310",2017-08-11,"2017"
"828","ADRIAN GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/24/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","10023 37TH AVENUE, QUEENS, NY, 11368",2017-08-10,"2017"
"829","RITE AID","Yes","Yes","Cigar(s)","Other",NA,"07/26/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","45-02 43RD AVENUE, SUNNYSIDE, NY, 11104",2017-08-10,"2017"
"830","BAEZ GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/24/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","10414 37TH AVENUE, CORONA, NY, 11368",2017-08-10,"2017"
"831","BP/SHOP","Yes","Yes","Cigar(s)","Other",NA,"07/24/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","11701 SPRINGFIELD BOULEVARD, CAMBRIA HEIGHTS, NY, 11411",2017-08-10,"2017"
"832","FOOD & CONVIENCE.","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/19/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","886 EAST 233RD STREET, BRONX, NY, 10466",2017-08-10,"2017"
"833","GUMAN DELI GROCERY CORP.","Yes","Yes","Cigar(s)","Other",NA,"07/24/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","41-06 JUNCTION BOULEVARD, QUEENS, NY, 11368",2017-08-10,"2017"
"834","RAMIREZ GROCERY STORE","Yes","Yes","Cigar(s)","Other",NA,"07/24/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","108-70 43RD AVENUE, CORONA, NY, 11368",2017-08-10,"2017"
"835","INTERNATIONAL NEWS","Yes","Yes","Cigar(s)","Other",NA,"07/11/2017","08/10/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","1690 EAST 16TH STREET, BROOKLYN, NY, 11229",2017-08-10,"2017"
"836","888 DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/17/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","1802 COLLEGE POINT BOULEVARD, COLLEGE POINT, NY, 11356",2017-08-03,"2017"
"837","QUENTIN RD. CONVENIENCE INC.","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/11/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1101 QUENTIN ROAD, BROOKLYN, NY, 11229",2017-08-03,"2017"
"838","LIBERTY EXPRESS DELI","Yes","Yes","Cigar(s)","Other",NA,"07/19/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","12822 LIBERTY AVENUE, SOUTH RICHMOND HILL, NY, 11419",2017-08-03,"2017"
"839","STOP ONE DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/10/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","3554 NOSTRAND AVENUE, BROOKLYN, NY, 11229",2017-08-03,"2017"
"840","ZEE'S GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/17/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","132-07A 14TH AVENUE, COLLEGE POINT, NY, 11356",2017-08-03,"2017"
"841","LOS PRIMOS DELI-GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"07/09/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","1050 WOODYCREST AVENUE, BRONX, NY, 10452",2017-08-03,"2017"
"842","HIPSTER GOURMET","Yes","Yes","Cigar(s)","Other",NA,"07/18/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","339 SARATOGA AVENUE, BROOKLYN, NY, 11233",2017-08-03,"2017"
"843","GULF","Yes","Yes","Cigarettes in a package","Newport",NA,"07/09/2017","08/03/2017","Warning Letter Issued",NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","3031 BAILEY AVENUE, BRONX, NY, 10463",2017-08-03,"2017"
"844","STOP 1 GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/03/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","23-34 94TH STREET, EAST ELMHURST, NY, 11369",2017-07-27,"2017"
"845","7 STAR JAMAICA DELI","Yes","Yes","Cigar(s)","Other",NA,"06/30/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","214-57 JAMAICA AVENUE, QUEENS, NY, 11428",2017-07-27,"2017"
"846","ROCKAWAY BLVD. DELI GROCERY CORP.","Yes","Yes","Cigar(s)","Other",NA,"07/05/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","134-14 ROCKAWAY BOULEVARD, SOUTH OZONE PARK, NY, 11420",2017-07-27,"2017"
"847","CIGAR MAN/CIGAR TABACCONIST","Yes","Yes","Cigar(s)","Other",NA,"06/30/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","4032 162ND STREET, FLUSHING, NY, 11358",2017-07-27,"2017"
"848","HEMPSTEAD SOUTH DELI CORP.","Yes","Yes","Cigar(s)","Other",NA,"07/02/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","218-60 HEMPSTEAD AVENUE, QUEENS VILLAGE, NY, 11429",2017-07-27,"2017"
"849","JAA DELI CORP","Yes","Yes","Cigar(s)","Other",NA,"07/06/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","4904 111ST STREET, CORONA, NY, 11368",2017-07-27,"2017"
"850","DAY DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"07/03/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","9101 31ST AVENUE, EAST ELMHURST, NY, 11369",2017-07-27,"2017"
"851","NEPTUNE DELI & GROCERY","Yes","Yes","Cigar(s)","Other",NA,"06/29/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor","1204 NEPTUNE AVENUE, BROOKLYN, NY, 11224",2017-07-27,"2017"
"852","VILLAGE DELI GROCERY","Yes","Yes","Cigar(s)","Other",NA,"06/30/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","21202 HILLSIDE AVENUE, QUEENS VILLAGE, NY, 11427",2017-07-27,"2017"
"853","GAMIL MINI MARKET DELI & GRILL","Yes","Yes","Cigar(s)","Other",NA,"07/02/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","89-95 217TH STREET, QUEENS VILLAGE, NY, 11427",2017-07-27,"2017"
"854","NAGIB DELI GROCERY INC.","Yes","Yes","Cigar(s)","Other",NA,"07/05/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","127-01 111TH AVENUE, SOUTH OZONE PARK, NY, 11420",2017-07-27,"2017"
"855","SHELLL/FOOD MART","Yes","Yes","Cigar(s)","Other",NA,"07/03/2017","07/27/2017","Warning Letter Issued",NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","9210 ASTORIA BOULEVARD, EAST ELMHURST, NY, 11369",2017-07-27,"2017"
