Compliance Check Inspections of Tobacco Product Retailers Through 6/30/22 - Search Results

You searched for:
State is NY
Decision Date: 01/01/2000 through 07/01/2022 
Minor Involved: Yes
Sale to Minor: Yes

Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Flavor,Inspection Date,Decision Date,Inspection Result,Link,Charges
"K MART #3861","1000 WEST MONTAUK HIGHWAY","WEST BABYLON","NY",11704,Yes,Yes,Cigarettes in a package,Marlboro,,01/21/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"7-ELEVEN","2550 MILLERSPORT HIGHWAY","GETZVILLE","NY",14068,Yes,Yes,ENDS,blu,Cherry Crush,01/26/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor
"ASSARY GROCERY & DELI","1510 SUNSET AVE","UTICA","NY",13502,Yes,Yes,Cigarettes in a package,Marlboro,,01/15/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"BOULEVARD CONVENIENCE","1219 NIAGARA FALLS BLVD","AMHERST","NY",14226,Yes,Yes,Cigarettes in a package,Marlboro,,01/19/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CARD$MART","578 STEWART AVENUE","BETHPAGE","NY",11714,Yes,Yes,Cigarettes in a package,Newport,,01/21/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"THE FOOD CENTER","8510 NEW FLOYD RD","ROME","NY",13440,Yes,Yes,Cigarettes in a package,Marlboro,,01/21/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CITGO","5341 BROADWAY STREET","LANCASTER","NY",14086,Yes,Yes,ENDS,blu,Cherry Crush,01/25/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age
"CITGO COURT STREET FUEL STOP","210 COURT STREET","BINGHAMTON","NY",13901,Yes,Yes,Smokeless tobacco,Grizzly,,01/17/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"WALDEN CONVENIENT STORE","599 WALDEN AVENUE","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,01/17/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CORNER MART","677 NIAGARA FALLS BOULEVARD","AMHERST","NY",14226,Yes,Yes,ENDS,blu,Classic Tobacco,01/19/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age
"RAY'S DELI & GRILL","2152 CROTONA PKWY","BRONX","NY",10460,Yes,Yes,Cigar(s),Black & Mild,,01/24/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor
"T. A. G DELI AND GROCERY INC.","2336 BEDFORD AVENUE","BROOKLYN","NY",11226,Yes,Yes,Cigar(s),Black & Mild,,01/23/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age
"ON AN ON EXPRESS DELI","310 BEACH 54TH STREET","FAR ROCKAWAY","NY",11692,Yes,Yes,Cigar(s),Black & Mild,,01/25/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age
"LATINVILLE'S DELI","266 MARGARET STREET","PLATTSBURGH","NY",12901,Yes,Yes,Cigarettes in a package,Other,,11/21/2016,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"HIP HOP ENTERPRISES","2417 PINE AVE","NIAGARA FALLS","NY",14301,Yes,Yes,Cigar(s),Other,,01/26/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor
"TOBACCO HOUSE","401 ELMIRA ROAD","ITHACA","NY",14850,Yes,Yes,Single cigarette,N/A,,01/24/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"SUNOCO","1066 SHERIDAN DRIVE","TONAWANDA","NY",14150,Yes,Yes,Cigarettes in a package,Marlboro,,See Complaint,02/02/2017,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2017-H-0437"),See Complaint
"UNITED SUPERMARKET","1114 BROADWAY ST","BUFFALO","NY",14212,Yes,Yes,Cigar(s),Other,,01/26/2017,02/02/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age
"TOPS XPRESS","700 S MEADOW ST","ITHACA","NY",14850,Yes,Yes,Cigarettes in a package,Newport,,01/24/2017,02/02/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"7-ELEVEN 35157","43 LINCOLN PARK DRIVE","BUFFALO","NY",14223,Yes,Yes,Cigarettes in a package,Marlboro,,See Complaint,01/31/2017,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2017-H-0293"),See Complaint
"7-ELEVEN","721 FLANDERS RD","RIVERHEAD","NY",11901,Yes,Yes,Cigarettes in a package,Marlboro,,01/12/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"7-ELEVEN INC","845 FLATBUSH AVE","BROOKLYN","NY",11226,Yes,Yes,Cigarettes in a package,Newport,,01/15/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"SEAB BREEZE DELICATESSEN","687 GLEN COVE AVENUE","GLEN HEAD","NY",11545,Yes,Yes,Cigarettes in a package,Marlboro,,01/15/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"THE COMMON'S MARKET","122 NORTH AURORA STREET","ITHACA","NY",14850,Yes,Yes,Cigarettes in a package,Newport,,01/02/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; SEC. 903 (21 U.S.C. 387c)-Labeling or advertising which uses the descriptors light mild or low or similar descriptors
"NEILL GOURMET DELI","1074 NEILL AVE","BRONX","NY",10461,Yes,Yes,Cigarettes in a package,Newport,,01/11/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"SCALISE'S DELI","158 SCHENCK STREET","NORTH TONAWANDA","NY",14120,Yes,Yes,Cigarettes in a package,Marlboro,,01/14/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"TOP QUALITY DISCOUNT","274 CENTRAL AVENUE","ALBANY","NY",12206,Yes,Yes,Cigarettes in a package,Newport,,See Complaint,01/26/2017,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2017-H-0271"),See Complaint
"DOLLAR GENERAL","8735 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","NY",14304,Yes,Yes,Cigar(s),Swisher,,01/17/2017,01/26/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; SEC. 903 (21 U.S.C. 387c)-Labeling or advertising which uses the descriptors light mild or low or similar descriptors
"KWIK FILL","645 MILLERSPORT HWY","AMHERST","NY",14226,Yes,Yes,Cigarettes in a package,Marlboro,,01/12/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; SEC. 903 (21 U.S.C. 387c)-Labeling or advertising which uses the descriptors light mild or low or similar descriptors
"GULF","4641 MAPLE ROAD","AMHERST","NY",14226,Yes,Yes,Cigarettes in a package,Marlboro,,01/12/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"LITTLE ITALY VARIETY STORE","288 GLEN STREET","GLEN COVE","NY",11542,Yes,Yes,Cigarettes in a package,Newport,,01/15/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"WING LEE KITCHEN","5904 99TH STREET","FLUSHING","NY",11368,Yes,Yes,Cigarettes in a package,Newport,,01/18/2017,01/26/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"LANCASTER MARKET","1007 LANCASTER AVENUE","SYRACUSE","NY",13210,Yes,Yes,Cigar(s),Swisher,,01/15/2017,01/26/2017,Warning Letter Issued,,1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age
"ALAWAY DELI","34 5TH AVENUE","TROY","NY",12180,Yes,Yes,Cigarettes in a package,Marlboro,,See Complaint,01/25/2017,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2017-H-0077"),See Complaint
"ZOMY DELI AND GROCERY","1029 WEST STREET","UTICA","NY",13501,Yes,Yes,Cigarettes in a package,Marlboro,,See Complaint,01/23/2017,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2017-H-0020"),See Complaint
"RITE AID #01827","2172 PENFIELD ROAD","PENFIELD","NY",14526,Yes,Yes,Cigarettes in a package,Newport,,12/19/2016,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"DELTA - SONIC CARWASH SYSTEMS INC. # 1808","2590 DELAWARE AVE","BUFFALO","NY",14216,Yes,Yes,Cigarettes in a package,Marlboro,,01/05/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"7-ELEVEN","741 KENMORE AVENUE","BUFFALO","NY",14223,Yes,Yes,Cigarettes in a package,Marlboro,,01/05/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"WEST BABYLON SUPERSTAR DISCOUNT BEVERAGE CENTER","966 LITTLE EAST NECK ROAD","WEST BABYLON","NY",11704,Yes,Yes,Cigarettes in a package,Newport,,01/13/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"BELEN DELI GROCERY","9816 CORONA AVENUE","CORONA","NY",11368,Yes,Yes,Cigarettes in a package,Newport,,Not yet available,01/19/2017,Civil Money Penalty not available,,Not yet available
"BELLA'S ENDICOTT MINI MART","136 WEST MAIN STREET","ENDICOTT","NY",13760,Yes,Yes,Cigarettes in a package,Marlboro,,12/08/2016,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"THE VILLAGE CENTER KWIK FILL","4298 SOUTH BUFFALO STREET","ORCHARD PARK","NY",14127,Yes,Yes,Cigarettes in a package,Newport,,01/08/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"HAMBURG TRADING COMPANY CONVENIENCE STORE","4973 CLARK STREET","HAMBURG","NY",14075,Yes,Yes,Cigarettes in a package,Marlboro,,12/28/2016,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"DELI & GROCERY","729 WESTCHESTER AVENUE","BRONX","NY",10455,Yes,Yes,Cigarettes in a package,Newport,,12/29/2016,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"KWIK FILL","303 ELMIRA ROAD","ITHACA","NY",14850,Yes,Yes,Cigarettes in a package,Newport,,01/14/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"MARILLA KWIK FILL","11615 CLINTON ST","ALDEN","NY",14004,Yes,Yes,Cigarettes in a package,Marlboro,,01/11/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"KWIK FILL","7010 WEST MAIN ROAD","LE ROY","NY",14482,Yes,Yes,Cigarettes in a package,Newport,,01/02/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"KWIK FILL","1862 HUDSON AVENUE","ROCHESTER","NY",14617,Yes,Yes,Cigarettes in a package,Marlboro,,01/02/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"WAVE / FOOD MART","945 LITTLE EAST NECK ROAD","WEST BABYLON","NY",11704,Yes,Yes,Cigarettes in a package,Newport,,01/13/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"GOLDEN SHOP MINI MART","760 GENESEE ST","ROCHESTER","NY",14611,Yes,Yes,Cigarettes in a package,Marlboro,,01/12/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"LINCOLN PARK MARKET","540 NIAGARA FALLS BOULEVARD","TONAWANDA","NY",14223,Yes,Yes,Cigarettes in a package,Marlboro,,01/14/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"TOPS","3500 MAIN STREET","AMHERST","NY",14226,Yes,Yes,Cigarettes in a package,Marlboro,,01/05/2017,01/19/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"7-ELEVEN","3211 MAIN STREET","BUFFALO","NY",14214,Yes,Yes,Cigarettes in a package,Newport,,12/31/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"SUNOCO / 7-ELEVEN","7185 BOSTON STATE ROAD","HAMBURG","NY",14075,Yes,Yes,Cigarettes in a package,Newport,,12/20/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"AMSTAR/MALCHO'S","619 MONROE AVENUE","ROCHESTER","NY",14607,Yes,Yes,Cigarettes in a package,Newport,,11/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"BEST BROTHER'S MARKET","235 MASSACHUSETTS AVANUE","BUFFALO","NY",14213,Yes,Yes,Cigarettes in a package,Newport,,12/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"SHEIK'S CIGARS","300 SOUTH MAIN STREET","NORTH SYRACUSE","NY",13212,Yes,Yes,Cigarettes in a package,Marlboro,,12/31/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"DEEP CONVENIENCE & GROCERY STORE","3167 EAST TREMONT AVENUE","BRONX","NY",10461,Yes,Yes,Cigarettes in a package,Newport,,12/28/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"CORNER MARKET/SUNOCO","2323 BROADWAY STREET","BUFFALO","NY",14212,Yes,Yes,Cigarettes in a package,Marlboro,,11/30/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"LO MAXIMO DELI GROCERY CORP.","710 BECK STREET","BRONX","NY",10455,Yes,Yes,Cigarettes in a package,Newport,,12/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CROSBY'S/SUNOCO","4531 LAKE AVENUE","LOCKPORT","NY",14094,Yes,Yes,Cigarettes in a package,Marlboro,,12/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"SOUTH PARK PIZZA & DELI","1727 SOUTH PARK AVENUE","BUFFALO","NY",14220,Yes,Yes,Cigarettes in a package,Marlboro,,12/28/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"NICE N EASY GROCERY SHOPPES","615 LAKE FLOWER AVENUE","SARANAC LAKE","NY",12983,Yes,Yes,Cigarettes in a package,Marlboro,,12/30/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"GULF / ENSERES EXPRESS","127 MAIN STREET","HAMBURG","NY",14075,Yes,Yes,Cigarettes in a package,Newport,,12/20/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"KWIK-FILL","2543 DELAWARE AVENUE","BUFFALO","NY",14216,Yes,Yes,Cigarettes in a package,Newport,,12/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"KMART","1001 HERTEL AVEENUE","BUFFALO","NY",14216,Yes,Yes,Cigarettes in a package,Marlboro,,12/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"SUNOCO","2075 DELAWARE AVE","BUFFALO","NY",14216,Yes,Yes,Cigarettes in a package,Newport,,12/29/2016,01/12/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"RITE AID #00607","47 EAST GENESEE STREET","AUBURN","NY",13021,Yes,Yes,Cigarettes in a package,Newport,,12/27/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"656 FOOD MART INC","656 WESTCHESTER AVENUE","BRONX","NY",10455,Yes,Yes,Single cigarette,N/A,,12/21/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age; 1140.14(a)(4)-Open packages of cigarettes intended for the sale of individual cigarettes
"7-ELEVEN","4424 LAKE AVENUE","ROCHESTER","NY",14612,Yes,Yes,Cigarettes in a package,Newport,,12/27/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"7-ELEVEN","4340 SOUTH BUFFALO STREET","ORCHARD PARK","NY",14127,Yes,Yes,Cigarettes in a package,Marlboro,,12/21/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"BRITE MARKET","905 CLINTON STREET","BUFFALO","NY",14210,Yes,Yes,Cigarettes in a package,Marlboro,,12/21/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"THE COLVIN MARKET DELI AND GRILL/GULF","117 COLVIN AVENUE","BUFFALO","NY",14216,Yes,Yes,Cigarettes in a package,Newport,,12/22/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"THE CORNER STORE","630 COLVIN AVENUE","BUFFALO","NY",14216,Yes,Yes,Cigarettes in a package,Newport,,12/22/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"PUTNAM VALLEY MARKET DELI & PIZZA","4 SUNSET HILL ROAD","PUTNAM VALLEY","NY",10579,Yes,Yes,Cigarettes in a package,Newport,,12/21/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"PUTNAM VALLEY LIZZIES SUPERMARKET","4 OSCAWANA LAKE ROAD","PUTNAM VALLEY","NY",10579,Yes,Yes,Cigarettes in a package,Newport,,12/21/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"MASTRIANNI'S","1892 SENECA STREET","BUFFALO","NY",14210,Yes,Yes,Cigarettes in a package,Marlboro,,12/21/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"QUICKLEE'S/MOBIL","375 KENNETH DRIVE","ROCHESTER","NY",14623,Yes,Yes,Cigarettes in a package,Newport,,12/27/2016,01/05/2017,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"DOLLAR GENERAL STORE 8650","638 COLUMBIA STREET EXTENSION","LATHAM","NY",12110,Yes,Yes,Cigarettes in a package,Newport,,Not yet available,01/03/2017,Civil Money Penalty not available,,Not yet available
"ALBANY STREET MINI MARKET & DELI","705 ALBANY STREET","SCHENECTADY","NY",12307,Yes,Yes,Cigarettes in a package,Newport,,Not yet available,12/29/2016,Civil Money Penalty not available,,Not yet available
"RED APPLE FOOD MART","2271 CULVER ROAD","ROCHESTER","NY",14609,Yes,Yes,Cigarettes in a package,Marlboro,,12/07/2016,12/29/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"C & E MARKET","1930 GENESEE STREET","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/13/2016,12/29/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"COOKY'S DELI","1450 CHURCH STREET","BOHEMIA","NY",11716,Yes,Yes,Cigarettes in a package,Other,,09/21/2016,12/29/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"FAMILY DOLLAR","3984 LOCKPORT OLCOTT ROAD","LOCKPORT","NY",14094,Yes,Yes,Cigarettes in a package,Marlboro,,12/20/2016,12/29/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"GRANT'S VARIETY SHOPPE","1055 EAST FERRY STREET","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/20/2016,12/29/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"SUNOCO","1311 SHERIDAN DRIVE","BUFFALO","NY",14217,Yes,Yes,Cigarettes in a package,Marlboro,,12/19/2016,12/29/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"1150 DELI GROCERY","1150 GARRISON AVENUE","BRONX","NY",10474,Yes,Yes,Cigarettes in a package,Newport,,12/14/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"RITE AID","3050 UNION ROAD","ORCHARD PARK","NY",14127,Yes,Yes,Cigarettes in a package,Marlboro,,12/13/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"DE MAR BEER & SODA","371 FORT SALONGA ROAD","NORTHPORT","NY",11768,Yes,Yes,Cigarettes in a package,Camel,,12/10/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CAMERON MILLS MARKET","7065 COUNTY ROUTE 119","CAMERON MILLS","NY",14820,Yes,Yes,Cigarettes in a package,Other,,12/12/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"FAMILY DOLLAR","2250 SENECCA STREET","BUFFALO","NY",14210,Yes,Yes,Cigarettes in a package,Newport,,12/10/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"DOLLAR GENERAL","1055 GENESEE STREET","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/16/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"UNITED EXPRESS MART","1047 GENESEE STREET","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/09/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"FADEL'S PRIME SHOP","109 GRANT STREET","BUFFALO","NY",14213,Yes,Yes,Cigarettes in a package,Newport,,12/09/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"ISLAND FOOD MART","1635 GENESEE STREET","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/16/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"GOLD STAR GAS MART","1126 GENESEE STREET","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/11/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"LAYALEES MINI MARKET","1864 ROUTE 31","CHITTENANGO","NY",13037,Yes,Yes,Cigarettes in a package,Marlboro,,12/11/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"MOBIL MART","2050 SHERIDAN DRIVE","BUFFALO","NY",14223,Yes,Yes,Smokeless tobacco,Copenhagen,,12/11/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"A PLUS/SUNOCO","1301 HERTEL AVENUE","BUFFALO","NY",14216,Yes,Yes,Smokeless tobacco,Copenhagen,,12/11/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"RICOTA'S","206 ELK STREET","BUFFALO","NY",14210,Yes,Yes,Cigarettes in a package,Newport,,12/11/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"SHELL","9 HAINES ROAD","BEDFORD HILLS","NY",10507,Yes,Yes,Cigarettes in a package,Newport,,12/08/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"TOPS","2101 ELMWOOD AVENUE","BUFFALO","NY",14207,Yes,Yes,Cigarettes in a package,Newport,,12/10/2016,12/22/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"WHITE'S GENERAL STORE","4840 STATE HIGHWAY 56","COLTON","NY",13625,Yes,Yes,Cigarettes in a package,Marlboro,,Not yet available,12/21/2016,Civil Money Penalty not available,,Not yet available
"CHAMPLAIN PETERBILT","61 WEST SERVICE ROAD","CHAMPLAIN","NY",12919,Yes,Yes,Cigarettes in a package,Other,,Not yet available,12/20/2016,Civil Money Penalty not available,,Not yet available
"THE TRADING POST","4426 STATE ROUTE 30","SARANAC LAKE","NY",12983,Yes,Yes,Cigarettes in a package,Other,,Not yet available,12/20/2016,Civil Money Penalty not available,,Not yet available
"RITE AID # 01816","845 ABBOTT ROAD","BUFFALO","NY",14220,Yes,Yes,Cigarettes in a package,Marlboro,,11/30/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"WALGREENS # 09585","430 SPENCER PORT RD","ROCHESTER","NY",14606,Yes,Yes,Cigarettes in a package,Marlboro,,12/09/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"RED APPLE FOOD MART","2260 ELMWOOD AVENUE","BUFFALO","NY",14217,Yes,Yes,Cigarettes in a package,Marlboro,,12/05/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"BUY FRESH","1350 FILLMORE AVENUE","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/08/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"CITGO","1050 OSBORN AVENUE","RIVERHEAD","NY",11901,Yes,Yes,Cigarettes in a package,Newport,,12/04/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CONVENIENCE MART / SMOKE SHOP","507 WESTCOTT STREET","SYRACUSE","NY",13210,Yes,Yes,Cigarettes in a package,Marlboro,,12/03/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"DE LA CRUZ DELI GROCERY","694 E 141ST ST","BRONX","NY",10454,Yes,Yes,Cigarettes in a package,Newport,,11/26/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"CUMBERLAND FARMS","84 BAY STREET","GLENS FALLS","NY",12801,Yes,Yes,Cigarettes in a package,Other,,12/07/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
"ELMWOOD MARKET","214 ELMWOOD AVE","BUFFALO","NY",14222,Yes,Yes,Cigarettes in a package,Marlboro,,12/01/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor
"FERRY EXPRESS","1507 FILLMORE AVENUE","BUFFALO","NY",14211,Yes,Yes,Cigarettes in a package,Newport,,12/08/2016,12/15/2016,Warning Letter Issued,,1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age
